Pueblo|x|y|PL|SM|ET|MU
Abadalejo|59.50|21.56|96.8|63.2|99.6|54.4
Alcubillas|31.88|36.20|70.0|48.4|84.4|64.4
Alhambra|38.78|52.41|59.6|65.2|67.6|51.2
Almedina|47.00|25.35|89.2|52.0|97.6|61.2
Argamasilla|35.14|77.21|40.0|84.8|43.2|53.2
Cañamares|64.69|35.31|89.6|73.6|87.2|40.0
Carrizosa|43.65|46.18|67.6|63.6|73.6|49.2
Castellar|19.07|12.84|88.4|22.8|109.6|88.0
Cozar|36.66|26.04|81.2|44.8|94.0|66.0
Fuenllana|47.17|36.29|77.6|59.6|83.6|51.6
Membrilla|13.18|60.37|40.8|62.0|66.8|74.8
Montiel|54.99|30.63|86.8|62.8|90.0|49.6
Ossa|64.01|59.49|74.4|88.0|66.0|24.0
Puebla P.|49.20|15.94|96.0|51.6|104.0|64.8
Ruidera|53.25|60.58|64.8|80.8|59.6|35.6
S. C. Caña|54.83|23.68|92.4|59.6|96.8|55.2
Solana|22.88|57.13|47.2|61.6|66.0|65.6
Terrinches|56.60|20.76|95.6|60.4|100.0|56.8
T. J. Abad|37.50|17.97|89.2|45.2|102.0|70.8
Torrenueva|11.90|24.09|76.0|26.8|100.8|87.6
Villahermosa|54.02|36.04|82.0|64.8|84.4|46.4
Villamanrique|43.17|13.53|95.2|45.2|106.4|70.4
Villa Fuente|569.65|30.56|96.4|76.0|93.2|41.6
Villanueva de los Infantes|42.10|34.30|76.4|54.4|85.6|56.8
