comunidades_y_ciudades_autonomas,divisiones_coicop,anno,total
Andalucía,Alimentos y bebidas no alcohólicas,2020,16747907
Andalucía,Alimentos y bebidas no alcohólicas,2019,15837390
Andalucía,Alimentos y bebidas no alcohólicas,2018,15459612
Andalucía,Alimentos y bebidas no alcohólicas,2017,14895726
Andalucía,Alimentos y bebidas no alcohólicas,2016,14674263
Andalucía,Alimentos y bebidas no alcohólicas,2015,14308503
Andalucía,Alimentos y bebidas no alcohólicas,2014,14206080
Andalucía,"Bebidas alcohólicas, tabaco y narcóticos",2020,5170880
Andalucía,"Bebidas alcohólicas, tabaco y narcóticos",2019,4914942
Andalucía,"Bebidas alcohólicas, tabaco y narcóticos",2018,4863864
Andalucía,"Bebidas alcohólicas, tabaco y narcóticos",2017,4855162
Andalucía,"Bebidas alcohólicas, tabaco y narcóticos",2016,4784412
Andalucía,"Bebidas alcohólicas, tabaco y narcóticos",2015,4532754
Andalucía,"Bebidas alcohólicas, tabaco y narcóticos",2014,4549248
Andalucía,Artículos de vestir y calzado,2020,3624517
Andalucía,Artículos de vestir y calzado,2019,5385920
Andalucía,Artículos de vestir y calzado,2018,5374730
Andalucía,Artículos de vestir y calzado,2017,5405786
Andalucía,Artículos de vestir y calzado,2016,5156437
Andalucía,Artículos de vestir y calzado,2015,4736635
Andalucía,Artículos de vestir y calzado,2014,4618481
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2020,24002547
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2019,24554315
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2018,24023594
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2017,23420453
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2016,22942171
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2015,22734704
Andalucía,"Vivienda, agua, electricidad, gas y otros combustibles",2014,22792542
Andalucía,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2020,4810757
Andalucía,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2019,5657803
Andalucía,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2018,5662582
Andalucía,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2017,5625807
Andalucía,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2016,5377414
Andalucía,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2015,4893024
Andalucía,"Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda",2014,4580518
Andalucía,Salud,2020,4717156
Andalucía,Salud,2019,4916105
Andalucía,Salud,2018,4789894
Andalucía,Salud,2017,4460370
Andalucía,Salud,2016,4118416
Andalucía,Salud,2015,4067241
Andalucía,Salud,2014,4009036
Andalucía,Transporte,2020,10900842
Andalucía,Transporte,2019,15481997
Andalucía,Transporte,2018,15490714
Andalucía,Transporte,2017,14794238
Andalucía,Transporte,2016,13137865
Andalucía,Transporte,2015,12535364
Andalucía,Transporte,2014,11688205
Andalucía,Comunicaciones,2020,2847934
