Totales Territoriales;Comunidades y Ciudades Autónomas;Divisiones COICOP;Periodo;Total
Total Nacional;;01. Alimentos y bebidas no alcohólicas;2020;98.546.000
Total Nacional;;01. Alimentos y bebidas no alcohólicas;2019;92.600.000
Total Nacional;;01. Alimentos y bebidas no alcohólicas;2018;90.878.000
Total Nacional;;01. Alimentos y bebidas no alcohólicas;2017;87.191.000
Total Nacional;;01. Alimentos y bebidas no alcohólicas;2016;86.140.000
Total Nacional;;01. Alimentos y bebidas no alcohólicas;2015;85.738.000
Total Nacional;;01. Alimentos y bebidas no alcohólicas;2014;83.644.000
Total Nacional;;02. Bebidas alcohólicas, tabaco y narcóticos;2020;29.551.000
Total Nacional;;02. Bebidas alcohólicas, tabaco y narcóticos;2019;28.601.000
Total Nacional;;02. Bebidas alcohólicas, tabaco y narcóticos;2018;28.327.000
Total Nacional;;02. Bebidas alcohólicas, tabaco y narcóticos;2017;28.160.000
Total Nacional;;02. Bebidas alcohólicas, tabaco y narcóticos;2016;28.053.000
Total Nacional;;02. Bebidas alcohólicas, tabaco y narcóticos;2015;26.696.000
Total Nacional;;02. Bebidas alcohólicas, tabaco y narcóticos;2014;26.704.000
Total Nacional;;03. Artículos de vestir y calzado;2020;20.522.000
Total Nacional;;03. Artículos de vestir y calzado;2019;30.172.000
Total Nacional;;03. Artículos de vestir y calzado;2018;30.119.000
Total Nacional;;03. Artículos de vestir y calzado;2017;30.948.000
Total Nacional;;03. Artículos de vestir y calzado;2016;30.510.000
Total Nacional;;03. Artículos de vestir y calzado;2015;29.025.000
Total Nacional;;03. Artículos de vestir y calzado;2014;28.246.000
Total Nacional;;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;159.444.000
Total Nacional;;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;162.799.000
Total Nacional;;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;159.448.000
Total Nacional;;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;155.335.000
Total Nacional;;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;151.549.000
Total Nacional;;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;150.754.000
Total Nacional;;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;151.566.000
Total Nacional;;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;29.065.000
Total Nacional;;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;33.265.000
Total Nacional;;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;33.770.000
Total Nacional;;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;33.527.000
Total Nacional;;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;32.194.000
Total Nacional;;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;30.223.000
Total Nacional;;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;28.451.000
Total Nacional;;06. Salud;2020;29.565.000
Total Nacional;;06. Salud;2019;31.085.000
Total Nacional;;06. Salud;2018;29.866.000
Total Nacional;;06. Salud;2017;28.298.000
Total Nacional;;06. Salud;2016;26.171.000
Total Nacional;;06. Salud;2015;26.173.000
Total Nacional;;06. Salud;2014;25.642.000
Total Nacional;;07. Transporte;2020;64.440.000
Total Nacional;;07. Transporte;2019;91.051.000
Total Nacional;;07. Transporte;2018;91.656.000
Total Nacional;;07. Transporte;2017;87.689.000
Total Nacional;;07. Transporte;2016;79.218.000
Total Nacional;;07. Transporte;2015;78.045.000
Total Nacional;;07. Transporte;2014;74.725.000
Total Nacional;;08. Comunicaciones;2020;17.678.000
Total Nacional;;08. Comunicaciones;2019;18.486.000
Total Nacional;;08. Comunicaciones;2018;18.677.000
Total Nacional;;08. Comunicaciones;2017;17.866.000
Total Nacional;;08. Comunicaciones;2016;16.932.000
Total Nacional;;08. Comunicaciones;2015;15.704.000
Total Nacional;;08. Comunicaciones;2014;15.554.000
Total Nacional;;09. Ocio, espectáculos y cultura;2020;35.050.000
Total Nacional;;09. Ocio, espectáculos y cultura;2019;55.800.000
Total Nacional;;09. Ocio, espectáculos y cultura;2018;54.180.000
Total Nacional;;09. Ocio, espectáculos y cultura;2017;52.635.000
Total Nacional;;09. Ocio, espectáculos y cultura;2016;49.591.000
Total Nacional;;09. Ocio, espectáculos y cultura;2015;46.915.000
Total Nacional;;09. Ocio, espectáculos y cultura;2014;44.143.000
Total Nacional;;10. Educación;2020;11.055.000
Total Nacional;;10. Educación;2019;11.426.000
Total Nacional;;10. Educación;2018;11.271.000
Total Nacional;;10. Educación;2017;11.120.000
Total Nacional;;10. Educación;2016;10.920.000
Total Nacional;;10. Educación;2015;10.671.000
Total Nacional;;10. Educación;2014;10.838.000
Total Nacional;;11. Hoteles, cafés y restaurantes;2020;58.979.000
Total Nacional;;11. Hoteles, cafés y restaurantes;2019;110.812.000
Total Nacional;;11. Hoteles, cafés y restaurantes;2018;107.262.000
Total Nacional;;11. Hoteles, cafés y restaurantes;2017;105.146.000
Total Nacional;;11. Hoteles, cafés y restaurantes;2016;96.217.000
Total Nacional;;11. Hoteles, cafés y restaurantes;2015;90.594.000
Total Nacional;;11. Hoteles, cafés y restaurantes;2014;85.277.000
Total Nacional;;12. Otros bienes y servicios;2020;68.633.000
Total Nacional;;12. Otros bienes y servicios;2019;73.832.000
Total Nacional;;12. Otros bienes y servicios;2018;71.696.000
Total Nacional;;12. Otros bienes y servicios;2017;67.631.000
Total Nacional;;12. Otros bienes y servicios;2016;64.337.000
Total Nacional;;12. Otros bienes y servicios;2015;59.521.000
Total Nacional;;12. Otros bienes y servicios;2014;57.874.000
Total Nacional;;Total gasto en consumo final de los hogares interior;2020;622.528.000
Total Nacional;;Total gasto en consumo final de los hogares interior;2019;739.929.000
Total Nacional;;Total gasto en consumo final de los hogares interior;2018;727.150.000
Total Nacional;;Total gasto en consumo final de los hogares interior;2017;705.546.000
Total Nacional;;Total gasto en consumo final de los hogares interior;2016;671.832.000
Total Nacional;;Total gasto en consumo final de los hogares interior;2015;650.059.000
Total Nacional;;Total gasto en consumo final de los hogares interior;2014;632.664.000
Total Nacional;;P.3. Gasto en consumo final de los hogares;2020;614.652.000
Total Nacional;;P.3. Gasto en consumo final de los hogares;2019;701.308.000
Total Nacional;;P.3. Gasto en consumo final de los hogares;2018;688.061.000
Total Nacional;;P.3. Gasto en consumo final de los hogares;2017;666.148.000
Total Nacional;;P.3. Gasto en consumo final de los hogares;2016;636.323.000
Total Nacional;;P.3. Gasto en consumo final de los hogares;2015;618.514.000
Total Nacional;;P.3. Gasto en consumo final de los hogares;2014;601.586.000
Total Nacional;;P.4. Consumo final efectivo de los hogares;2020;775.465.000
Total Nacional;;P.4. Consumo final efectivo de los hogares;2019;853.267.000
Total Nacional;;P.4. Consumo final efectivo de los hogares;2018;831.460.000
Total Nacional;;P.4. Consumo final efectivo de los hogares;2017;804.506.000
Total Nacional;;P.4. Consumo final efectivo de los hogares;2016;771.006.000
Total Nacional;;P.4. Consumo final efectivo de los hogares;2015;749.980.000
Total Nacional;;P.4. Consumo final efectivo de los hogares;2014;726.888.000
Total Nacional;01 Andalucía;01. Alimentos y bebidas no alcohólicas;2020;16.747.907
Total Nacional;01 Andalucía;01. Alimentos y bebidas no alcohólicas;2019;15.837.390
Total Nacional;01 Andalucía;01. Alimentos y bebidas no alcohólicas;2018;15.459.612
Total Nacional;01 Andalucía;01. Alimentos y bebidas no alcohólicas;2017;14.895.726
Total Nacional;01 Andalucía;01. Alimentos y bebidas no alcohólicas;2016;14.674.263
Total Nacional;01 Andalucía;01. Alimentos y bebidas no alcohólicas;2015;14.308.503
Total Nacional;01 Andalucía;01. Alimentos y bebidas no alcohólicas;2014;14.206.080
Total Nacional;01 Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2020;5.170.880
Total Nacional;01 Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2019;4.914.942
Total Nacional;01 Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2018;4.863.864
Total Nacional;01 Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2017;4.855.162
Total Nacional;01 Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2016;4.784.412
Total Nacional;01 Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2015;4.532.754
Total Nacional;01 Andalucía;02. Bebidas alcohólicas, tabaco y narcóticos;2014;4.549.248
Total Nacional;01 Andalucía;03. Artículos de vestir y calzado;2020;3.624.517
Total Nacional;01 Andalucía;03. Artículos de vestir y calzado;2019;5.385.920
Total Nacional;01 Andalucía;03. Artículos de vestir y calzado;2018;5.374.730
Total Nacional;01 Andalucía;03. Artículos de vestir y calzado;2017;5.405.786
Total Nacional;01 Andalucía;03. Artículos de vestir y calzado;2016;5.156.437
Total Nacional;01 Andalucía;03. Artículos de vestir y calzado;2015;4.736.635
Total Nacional;01 Andalucía;03. Artículos de vestir y calzado;2014;4.618.481
Total Nacional;01 Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;24.002.547
Total Nacional;01 Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;24.554.315
Total Nacional;01 Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;24.023.594
