País de nacimiento;Sexo;Edad;Periodo;Total
Total;Total;Todas las edades;2024;48.619.695
Total;Total;Todas las edades;2023;48.085.361
Total;Total;Todas las edades;2022;47.486.727
Total;Total;Todas las edades;2021;47.400.798
Total;Total;0 años;2024;321.282
Total;Total;0 años;2023;329.968
Total;Total;0 años;2022;336.783
Total;Total;0 años;2021;339.465
Total;Total;1 año;2024;338.464
Total;Total;1 año;2023;346.953
Total;Total;1 año;2022;346.269
Total;Total;1 año;2021;365.236
Total;Total;2 años;2024;351.051
Total;Total;2 años;2023;348.066
Total;Total;2 años;2022;360.497
Total;Total;2 años;2021;376.033
Total;Total;3 años;2024;356.596
Total;Total;3 años;2023;370.824
Total;Total;3 años;2022;381.073
Total;Total;3 años;2021;404.168
Total;Total;4 años;2024;378.141
Total;Total;4 años;2023;390.595
Total;Total;4 años;2022;407.403
Total;Total;4 años;2021;427.005
Total;Total;5 años;2024;397.847
Total;Total;5 años;2023;416.867
Total;Total;5 años;2022;429.321
Total;Total;5 años;2021;438.615
Total;Total;6 años;2024;424.211
Total;Total;6 años;2023;438.743
Total;Total;6 años;2022;441.425
Total;Total;6 años;2021;446.171
Total;Total;7 años;2024;446.861
Total;Total;7 años;2023;451.249
Total;Total;7 años;2022;449.533
Total;Total;7 años;2021;442.202
Total;Total;8 años;2024;459.387
Total;Total;8 años;2023;459.468
Total;Total;8 años;2022;445.467
Total;Total;8 años;2021;468.404
Total;Total;9 años;2024;467.865
Total;Total;9 años;2023;455.480
Total;Total;9 años;2022;471.776
Total;Total;9 años;2021;481.121
Total;Total;10 años;2024;463.658
Total;Total;10 años;2023;481.625
Total;Total;10 años;2022;484.090
Total;Total;10 años;2021;492.448
Total;Total;11 años;2024;489.754
Total;Total;11 años;2023;493.302
Total;Total;11 años;2022;495.311
Total;Total;11 años;2021;501.097
Total;Total;12 años;2024;501.525
Total;Total;12 años;2023;504.865
Total;Total;12 años;2022;503.800
Total;Total;12 años;2021;524.181
Total;Total;13 años;2024;512.816
Total;Total;13 años;2023;513.178
Total;Total;13 años;2022;526.652
Total;Total;13 años;2021;505.220
Total;Total;14 años;2024;520.919
Total;Total;14 años;2023;536.032
Total;Total;14 años;2022;508.120
Total;Total;14 años;2021;503.302
Total;Total;15 años;2024;544.213
Total;Total;15 años;2023;517.340
Total;Total;15 años;2022;507.660
Total;Total;15 años;2021;494.337
Total;Total;16 años;2024;525.524
Total;Total;16 años;2023;516.015
Total;Total;16 años;2022;498.216
Total;Total;16 años;2021;491.181
Total;Total;17 años;2024;525.072
Total;Total;17 años;2023;507.614
Total;Total;17 años;2022;495.222
Total;Total;17 años;2021;484.505
Total;Total;18 años;2024;522.425
Total;Total;18 años;2023;511.311
Total;Total;18 años;2022;492.728
Total;Total;18 años;2021;471.635
Total;Total;19 años;2024;527.634
Total;Total;19 años;2023;510.526
Total;Total;19 años;2022;481.717
Total;Total;19 años;2021;475.624
Total;Total;20 años;2024;525.418
Total;Total;20 años;2023;499.051
