pais_de_nacimiento,sexo,edad,anno,total
España,Hombres,0,2024,163539
España,Hombres,0,2023,168363
España,Hombres,0,2022,172687
España,Hombres,0,2021,173116
España,Hombres,1,2024,168921
España,Hombres,1,2023,173476
España,Hombres,1,2022,173989
España,Hombres,1,2021,184526
España,Hombres,2,2024,171418
España,Hombres,2,2023,170033
España,Hombres,2,2022,179759
España,Hombres,2,2021,186037
España,Hombres,3,2024,170468
España,Hombres,3,2023,180208
España,Hombres,3,2022,186409
España,Hombres,3,2021,197813
España,Hombres,4,2024,179913
España,Hombres,4,2023,186186
España,Hombres,4,2022,197273
España,Hombres,4,2021,206153
España,Hombres,5,2024,185569
España,Hombres,5,2023,196853
España,Hombres,5,2022,205304
España,Hombres,5,2021,210345
España,Hombres,6,2024,196235
España,Hombres,6,2023,204570
España,Hombres,6,2022,209510
España,Hombres,6,2021,213824
España,Hombres,7,2024,204172
España,Hombres,7,2023,209004
España,Hombres,7,2022,213199
España,Hombres,7,2021,211059
España,Hombres,8,2024,208614
España,Hombres,8,2023,212824
España,Hombres,8,2022,210591
España,Hombres,8,2021,225124
España,Hombres,9,2024,212567
España,Hombres,9,2023,210254
España,Hombres,9,2022,224815
España,Hombres,9,2021,231651
España,Hombres,10,2024,209928
España,Hombres,10,2023,224373
España,Hombres,10,2022,231062
España,Hombres,10,2021,236950
España,Hombres,11,2024,224010
España,Hombres,11,2023,230562
España,Hombres,11,2022,236378
España,Hombres,11,2021,241627
España,Hombres,12,2024,230342
España,Hombres,12,2023,235905
España,Hombres,12,2022,241017
España,Hombres,12,2021,252716
España,Hombres,13,2024,235618
España,Hombres,13,2023,240611
España,Hombres,13,2022,252221
España,Hombres,13,2021,241525
España,Hombres,14,2024,240333
España,Hombres,14,2023,251876
España,Hombres,14,2022,241209
España,Hombres,14,2021,238019
España,Hombres,15,2024,251615
España,Hombres,15,2023,240962
España,Hombres,15,2022,238073
España,Hombres,15,2021,230304
España,Hombres,16,2024,240619
España,Hombres,16,2023,237515
España,Hombres,16,2022,230041
España,Hombres,16,2021,226560
España,Hombres,17,2024,237303
España,Hombres,17,2023,229520
España,Hombres,17,2022,225971
España,Hombres,17,2021,219305
España,Hombres,18,2024,229556
España,Hombres,18,2023,226089
España,Hombres,18,2022,219077
España,Hombres,18,2021,208666
España,Hombres,19,2024,226140
España,Hombres,19,2023,219203
España,Hombres,19,2022,208660
España,Hombres,19,2021,203212
España,Hombres,20,2024,219135
España,Hombres,20,2023,208596
España,Hombres,20,2022,202999
España,Hombres,20,2021,201296
España,Hombres,21,2024,208451
España,Hombres,21,2023,202770
España,Hombres,21,2022,200994
España,Hombres,21,2021,192029
España,Hombres,22,2024,202530
España,Hombres,22,2023,200693
España,Hombres,22,2022,191668
España,Hombres,22,2021,185635
España,Hombres,23,2024,200339
España,Hombres,23,2023,191288
España,Hombres,23,2022,185251
