date,currency_code,name,local_price,dollar_ex,dollar_price
2020-01-14,AED,United Arab Emirates,14.75,3.67315,4.01562691422893
2020-01-14,ARS,Argentina,171,60.0656,2.8468874031059404
2020-01-14,AUD,Australia,6.45,1.4490653528474098,4.451145000000009
2020-01-14,AZN,Azerbaijan,3.95,1.6965,2.3283230179781897
2020-01-14,BHD,Bahrain,1.4,0.377,3.7135278514588896
2020-01-14,BRL,Brazil,19.9,4.1419,4.804558294502519
2020-01-14,CAD,Canada,6.77,1.30655,5.18158509050553
2020-01-14,CHF,Switzerland,6.5,0.96825,6.7131422669765
2020-01-14,CLP,Chile,2640,772.74,3.4164143178818196
2020-01-14,CNY,China,21.5,6.885,3.12273057371097
2020-01-14,COP,Colombia,11900,3287.625,3.61963423443976
2020-01-14,CRC,Costa Rica,2350,569.965,4.12306018790628
2020-01-14,CZK,Czech Republic,85,22.63095,3.75591833307926
2020-01-14,DKK,Denmark,30,6.71935,4.46471756940776
2020-01-14,EGP,Egypt,42,15.88,2.6448362720403
2020-01-14,EUR,Euro area,4.12,0.8991592860675269,4.582058
2020-01-14,GBP,Britain,3.39,0.76866904954072,4.4102205
2020-01-14,GTQ,Guatemala,25,7.7063,3.2440989839482004
2020-01-14,HKD,Hong Kong,20.5,7.77535,2.63653726198821
2020-01-14,HNL,Honduras,87,24.6548,3.5287246296867103
2020-01-14,HRK,Croatia,22,6.6965,3.28529829015157
2020-01-14,HUF,Hungary,900,298.7502,3.0125502844851697
2020-01-14,IDR,Indonesia,33000,13670,2.4140453547915097
2020-01-14,INR,India,188,70.87815,2.65243943302696
2020-01-14,ILS,Israel,17,3.4595,4.91400491400492
2020-01-14,JOD,Jordan,2.3,0.7090000000000001,3.24400564174894
2020-01-14,JPY,Japan,390,110.04,3.54416575790622
2020-01-14,KRW,South Korea,4500,1156.1,3.89239685148344
2020-01-14,KWD,Kuwait,1.1,0.3034,3.6255767963085
2020-01-14,LBP,Lebanon,6500,1514,4.2932628797886405
2020-01-14,LKR,Sri Lanka,580,181.45,3.19647285753651
2020-01-14,MDL,Moldova,45,17.42,2.58323765786452
2020-01-14,MXN,Mexico,50,18.8205,2.65667755904466
2020-01-14,MYR,Malaysia,9.5,4.0745,2.33157442630998
2020-01-14,NIO,Nicaragua,120,33.8763,3.5422994837098503
2020-01-14,NOK,Norway,53,8.87515,5.97173005526667
2020-01-14,NZD,New Zealand,6.5,1.5135462388376,4.29454999999999
2020-01-14,OMR,Oman,1.155,0.38505,2.99961044020257
2020-01-14,PKR,Pakistan,520,154.875,3.35754640839387
2020-01-14,PEN,Peru,11.9,3.3276,3.57615097968506
2020-01-14,PHP,Philippines,142,50.58,2.80743376828786
2020-01-14,PLN,Poland,11,3.7966,2.89732918927461
2020-01-14,QAR,Qatar,13,3.641,3.57044767920901
2020-01-14,RON,Romania,9.5,4.2982,2.21022753710856
2020-01-14,RUB,Russia,135,61.4325,2.1975338786473
2020-01-14,SAR,Saudi Arabia,13,3.7518,3.4650034650034702
2020-01-14,SGD,Singapore,5.9,1.34715,4.37961622684928
2020-01-14,SEK,Sweden,51.5,9.4591,5.4444926050047
2020-01-14,THB,Thailand,115,30.2775,3.79819998348609
2020-01-14,TRY,Turkey,12.99,5.88025,2.20908974958548
2020-01-14,TWD,Taiwan,72,29.8845,2.4092757114892303
2020-01-14,UAH,Ukraine,57,23.99,2.3759899958316
2020-01-14,UYU,Uruguay,179,37.435,4.7816214772271906
2020-01-14,USD,United States,5.67,1,5.67
2020-01-14,VND,Vietnam,66000,23176,2.8477735588539903
2020-01-14,ZAR,South Africa,31,14.390999999999998,2.15412410534362
